english_sentence,hindi_sentence
Highlight duration,अवधि को हाइलाइट रकें
The duration of the highlight box when selecting accessible nodes.,पहुंचनीय आसंधि नोड को चुनते समय हाइलाइट बक्से की अवधि. 
Highlight fill color,भराई के रंग को हाइलाइट करें
The color and opacity of the highlight fill.,हाइलाइट किया गया भराई का रंग और पारदर्शिता। 
Highlight border color,सीमांत (बोर्डर) के रंग को हाइलाइट करें
The color and opacity of the highlight border.,हाइलाइट किए गए सीमांत का रंग और अपारदर्शिता। 
The layout for the bottom panel,नीचे के पैनल के लिए लेआउट
The layout for the bottom panel pluginview.,नीचे पैनल pluginview के लिए लेआउट. 
The layout for the top panel,ऊपरी पटल के लिए खाका
The layout for the top panel pluginview.,शीर्ष पैनल pluginview के लिए लेआउट. 
Single layout view,एकल लेआउट दृश्य
Available new pluginviews,नई pluginviews उपलब्ध है
The default plugin layout for the top panel.,ऊपरी पटल के लिए डिफोल्ट प्लग-इन खाका. 
API Browser,एपीआई विचरक
Browse the various methods of the current accessible,"इस समय जिसे प्राप्त किया गया हो, उसकी विभिन्न विधियों (मेथड) में विचरण करें"
Hide private attributes,निजी गुणों को छिपाएं
Method,विधि
Property,गुणधर्म
Value,मान
IPython Console,आईपाइथन कन्सोल
Interactive console for manipulating currently selected accessible,इस समय चुने गए एक्सेसेबेल से काम लेने के लिए अंतर्क्रियात्मक कन्सोल
Event monitor,घटना मानिटर
_ Monitor Events,घटनाओं को मानिटर करें (_ M) 
C _ lear Selection,चुनाव को हटाएं (C _) 
Everything,सभी
Selected application,चुने गए अनुप्रयोग
Selected accessible,चुने गए एक्सेसेबेल
Source,स्रोत
Event Monitor,घटना मानिटर
Shows events as they occur from selected types and sources,"चुने गए प्रकारों और स्रोतों से घटनाएं जैसे-जैसे घटित होती हैं, उन्हें दर्शाता है"
Highlight last event entry,अंतिम प्रविष्ट घटना को हाइलाइट करो
Start / stop event recording,घटना रेकोर्डिंग शुरू करो/रोको
Clear event log,घटना रोजनामचा मिटाओ
Child count,बाल गणना
Description,वर्णन
States,राज्य
Attributes,गुणधर्म
Show,दिखाएं
Relations,संबंध
_ Accessible,पहुंचनीय
Perform action,कार्रवाई संपन्न करें
Acti _ on,कार्रवाई (_ o) 
ID,आईडी
Toolkit,औजार बक्सा
Version,संस्करण
Ap _ plication,अनुप्रयोग
Col _ lection,संग्रह
"0, 0","0, 0"
Relative position,सापेक्ष स्थिति
Size,आकार
WIDGET,विडजेट
Layer,स्तर
MDI - Z - order,एमडीआई-जेड-क्रम
Alpha,अल्फा
Absolute position,निरपेक्ष स्थिति
Co _ mponent,घटक
Des _ ktop,डेस्कटोप
Locale:,स्थान-विशिष्टः
_ Document,प्रलेख
Hyperlink,हाइपरकड़ी
H _ ypertext,हाइपरपाठ
Position,स्थिति
Locale,स्थान-विशिष्ट
_ Image,छवि (_ I) 
Lo _ gin Helper,प्रवेश सहायक
Select All,सभी चुनें
_ Selection,चयन (_ S) 
St _ reamable Content,प्रवाहित करनेयोग्य विषयवस्तु
Caption:,शीर्षकः
Summary:,सारांशः
Selected columns,चुने गए स्तंभ
Selected rows,चुनी गई पंक्तियां
Columns,स्तंभ
Rows,पंक्तियां
Table Information,सारणी सूचना
"name (x, y)","नाम (x, y) "
Header:,शीर्षकः
Extents:,विस्तारः
Row,पंक्ति
Column,स्तंभ
Selected Cell,चुनी गई कोशिका
_ Table,सारणी (_ T) 
Offset,ओफसेट
Include defaults,डिफोल्टों को शामिल करें
Start: 0,प्रारंभ
End: 0,अंतः 0
Te _ xt,पाठ (_ x) 
Current value,मौजूदा मान
Minimum increment,न्यूनतम वृद्धि
Maximum value,अधिकतम मान
Minimum value,न्यूनतम मान
Val _ ue,मान
unknown,अज्ञात
Interface Viewer,अंतराफलक दर्शक
Allows viewing of various interface properties,अंतराफलक के विभिन्न गुणों को देखने देता है
(not implemented),(क्रियान्वित नहीं हुआ है) 
Name,नाम
URI,यूआरआई
Start,प्रारंभ
End,अंत
Too many selectable children,बहुत अधिक चयनीय शिशु हैं
(Editable),(संशोधनीय) Start
Start:% d,प्रारंभEnd
Quick Select,तेज चुनाव
Plugin with various methods of selecting accessibles quickly.,प्लग-इन जिसमें हैं एक्सेसेबेलों को तेजी से चुनने के लिए कई विधियां
Inspect last focused accessible,अंतिम बार फोकस किए गए एक्सेसेबल को जांचें
Inspect accessible under mouse,"माउस के अधीन जो एक्सेसेबल है, उसे जांचें"
Sche _ ma:,स्कीमाः
V _ alidate,सत्यापन
Idle,खाली
No description,कोई विवरण नहीं
AT - SPI Validator,एटी-एसपीआई सत्यापक
Validates application accessibility,अनुप्रयोग की पहुंचनीयता का सत्यापन करता है
Level,स्तर
Role,भूमिका
Saving,सहेज रहे हैं
Validating,पुष्टि कर रहे हैं
EXCEPT,अपवाद
ERROR,त्रुटि
WARN,चेतावनी
INFO,सूचना
DEBUG,दोषमुक्त करें
Basic,मूल
Tests fundamental GUI application accessibility,मूलभूत जीयूआई अनुप्रयोग पहुंचनीयता का परीक्षण करता है
actionable% s is not focusable or selectable,"% s जिस पर कार्रवाई हो सकती है, वह न तो फोकस करने योग्य है न ही चयनीय"
interactive% s is not actionable,अंतर्क्रियात्मक% s कार्रवाई करने योग्य नहीं है
more than one focused widget,एक से अधिक विडजेट फोकस में है
% s has no text interface,% s का कोई पाठ अंतराफलक नहीं है
% s index in parent does not match child index,अभिभावक में% s सूची शिशु सूची सेमेल नहीं खाती
Missing reciprocal for% s relation,% s संबंध के लिए अन्योन्य गायब है
% s missing name or label,% s गायब नाम या सूचक
"focusable% s has a table interface, but not a selection interface","फोकस योग्य% s में सारणी अंतराफलक है, लेकिन कोई चयनीय अंतराफलक नहीं हैbutton has focused state without focusable state"
% s has% s state without% s state,"% s में% s स्थिति है, पर उसके साथ% s स्थिति नहीं है"
% s does not belong to a set,% s किसी समुच्चय का सदस्य नहीं है
% (rolename) s index% (num) d does not match row and column,% (rolename) s सूची% (num) d पंक्ति और स्तंभ से मेल नहीं खातेparent indexrow and column index
% (rolename) s parent index% (num1) d does not match row and column index% (num2) d,% (rolename) s अभिभावक सूची% (num1) d पंक्ति और स्तंभ सूची% (num2) d से मेल नहीं खाते
% s has no name or description,% s का कोई नाम या विवरण नहीं
_ Preferences...,पसंद (_ P)... 
_ Contents,विषय सूची (_ C) 
< dead >,<dead> 
Children,शिशु
_ Hide / Show Applications without children,बच्चों के बिना अनुप्रयोग छिपाएँ/दिखाएँ (_ H) 
_ Refresh Registry,पंजी ताजा करें (_ R) 
Refresh all,सभी को ताजा करें
Refresh _ Node,आसंधि (नोड) को ताजा करें (_ N) 
Refresh selected node 's children,चुनी गई आसंधियों (नोड) के शिशुओं को ताजा करें
Component,घटक
Task,कार्य
Key,कुंजी
Alt,आल्ट
Ctrl,कंट्रोल
Shift,शिफ्ट
Top panel,ऊपरी पटल
Bottom panel,निचला पटल
accerciser Preferences,एक्सेर्साइसर पसंद
Plugins,प्लगइन्स
Global Hotkeys,सार्वत्रिक फटाफट कुंजियां
Highlighting,हाइलाइटन
Highlight duration:,हाइलाइट अवधिः
Border color:,सीमांत रंगः
The border color of the highlight box,हाइलाइट बक्से का सीमांत रंग
Fill color:,भराई का रंगः
The fill color of the highlight box,हाइलाइट बक्से का भराई रंग
translator - credits,रविशंकर श्रीवास्तव (raviratlami @yahoo. com) राजेश रंजन (rajeshkajha @yahoo. com) ल. बालसुब्रमण्यम (l. balasubramaniam @gmail. com) 
An interactive Python accessibility explorer,एक अंतर्क्रियात्मक पाइथन पहुंचनीयता अन्वेषक
"accerciser Copyright (c) 2006, 2007 IBM Corporation (BSD)","एक्सेर्साइसर सर्वाधिकार (c) 2006,2007 आईबीएम निगम (बीएसडी) "
The New BSD License See the COPYING and NOTICE files for details.,नया बीएसडी लाइसेन्स विवरण के लिए देखिए प्रतिलिपीकरण और सूचना फाइलें
Web site,जाल स्थल
_ Add Bookmark...,पसंद जोड़ें... (_ A) 
Bookmark selected accessible.,चुने गए एक्सेसेबलों को पुस्तक-चिह्नित करें
_ Edit Bookmarks...,पुस्तक चिह्न संपादित करें (_ E)... 
Manage bookmarks.,पुस्तक-चिह्नों को प्रबंधित करें। 
Edit Bookmarks...,पुस्तक चिह्नों को संपादित करें... 
Title,शीर्षक
Application,अनुप्रयोग
Path,पथ
Add Bookmark...,पुस्तक-चिह्न जोड़ें... 
Title:,शीर्षकः
Application:,अनुप्रयोगः
Path:,पथः
Plugin Errors,प्लग-इन त्रुटियांviewport
View,दृश्य
No view,कोई दृश्य नहीं है
_ Single plugins view,एकल प्लग-इन दृश्य
Plugin View,प्लग-इन दृश्य
Plugin View (% d),प्लग-इन दृश्य (% d) 
_ New view...,नया दृश्य... 
New View...,नया दृश्य... 
_ File,फाइल (F) 
_ Edit,संपादित करेंmenu
_ Bookmarks,पसंद (_ B) menu
_ View,दृश्य _ (V) 
_ Help,मदद
(no description),(कोई विवरण नहीं) 
Accerciser could not see the applications on your desktop. You must enable desktop accessibility to fix this problem. Do you want to enable it now?,एक्सेरसाइसर आपके डेस्कटोप में मौजूद अनुप्रयोग नहीं देख पाया। इस समस्या के समाधान के लिए आपको डेस्कटोप पहुंचनीयता को सक्रिय करना होगा। क्या आप इसे सक्रिय करना चाहते हैं? 
Note: Changes only take effect after logout.,टिप्पणीः परिवर्तन सत्रांत (लोगआउट) के बाद ही प्रभाव में आएंगे। 
_ New view...,नया दृश्य... (_ N) 
GNOME,गनोम
Default GNOME Theme,डिफ़ॉल्ट गनोम प्रसंग
Desktop,डेस्कटॉप
Documents,दस्तावेज़
Downloads,डाउनलोड
Favorite,पसंदीदा
Generic,ज़ेनेरिक
Important,महत्वपूर्ण
Mail,डाक
New,नया
Package,पैकेज
Photos,फोटो
No write,नहीं लिखें
No read,नहीं पढ़ा
Urgent,अत्यावश्यक
Web,वेब
GNOME,गनोम
Default GNOME Theme,डिफ़ॉल्ट गनोम प्रसंग
Desktop,डेस्कटॉप
Documents,दस्तावेज़
Downloads,डाउनलोड
Favorite,पसंदीदा
Generic,ज़ेनेरिक
Important,महत्वपूर्ण
Mail,डाक
New,नया
Package,पैकेज
Photos,फोटो
No write,नहीं लिखें
No read,नहीं पढ़ा
Urgent,अत्यावश्यक
Web,वेब
GNOME,गनोम
Default GNOME Theme,डिफ़ॉल्ट गनोम प्रसंग
Desktop,डेस्कटॉप
Documents,दस्तावेज़
Downloads,डाउनलोड
Favorite,पसंदीदा
Generic,ज़ेनेरिक
Important,महत्वपूर्ण
Mail,डाक
New,नया
Package,पैकेज
Photos,फोटो
No write,नहीं लिखें
No read,नहीं पढ़ा
Urgent,अत्यावश्यक
Web,वेब
GNOME,गनोम
Default GNOME Theme,डिफ़ॉल्ट गनोम प्रसंग
Desktop,डेस्कटॉप
Documents,दस्तावेज़
Downloads,डाउनलोड
Favorite,पसंदीदा
Generic,ज़ेनेरिक
Important,महत्वपूर्ण
Mail,डाक
New,नया
Package,पैकेज
Photos,फोटो
No write,नहीं लिखें
No read,नहीं पढ़ा
Urgent,अत्यावश्यक
Web,वेब
Desktop,डेस्कटॉप
GNOME,गनोम
Documents,दस्तावेज़
Downloads,डाउनलोड
Favorite,पसंदीदा
Generic,ज़ेनेरिक
Important,महत्वपूर्ण
Mail,डाक
New,नया
Package,पैकेज
Photos,फोटो
No write,नहीं लिखें
No read,नहीं पढ़ा
Urgent,अत्यावश्यक
Web,वेब
AisleRiot Solitaire,एस्लेरियॉट सॉलिटेयर
Play many different solitaire games,भिन्न प्रकार के सॉलिटेयर खेल खेलें
solitaire; cards; klondike; spider; freecell; patience;,सोलिटेयर; पत्ते; क्लोंडाइक; मकड़ी; FreeCell; धैर्य; 
Theme file name,प्रसंग फाइल नाम
The name of the file with the graphics for the cards.,पत्तों हेतु ग्राफ़िक्स सहित फ़ाइल का नाम. 
Whether or not to show the toolbar,उपकरण-पट्टी दिखाएँ या नहीं
Whether or not to show the status bar,स्थिति-पट्टी दिखाएँ या नहीं
Select the style of control,नियंत्रण की शैली का चयन करें
Select whether to drag the cards or to click on the source then the destination.,चुनें कि कार्ड खींचना है या गंतव्य के बजाय श्रोत पर क्लिक करना है. 
Sound,ध्वनि
Whether or not to play event sounds.,घटनाओं हेतु ध्वनि बजाएँ या नहीं. 
Animations,एनीमेशन
Whether or not to animate card moves.,कार्ड चालों में एनीमेशन उपयोग करें या नहीं. 
The game file to use,खेल फ़ाइल उपयोग में
The name of the scheme file containing the solitaire game to play.,प्रसंग फ़ाइल का नाम जिसमें खेला जाने वाला सॉलिटेयर खेल है. 
Statistics of games played,खेल पुनः प्रारंभ करें
"A list of strings that come in the form of a quintuple: name, wins, total games played, best time (in seconds) and worst time (also in seconds). Unplayed games do not need to be represented.","स्ट्रिंग की सूची जो पांच गुने रूप में आता हैः name, wins, total games played, best time (सेकेंड में) और worst time (सेकेंड में ही). नहीं खेला गया खेल दिखाया नहीं जा सकता. "
Recently played games,हाल में खेले खेल के नाम
A list of recently played games.,हाल में खेले गए खेल के नाम. 
New Game,नया खेल
Change Game,खेल बदलें
Statistics,सांख्यिकी
Fullscreen,पूर्णस्क्रीन
Help,मदद
About Aisleriot,एस्लेरियॉट के बारे में
Quit,बाहर
Select Game,खेल चुनें
_ Select,चुनें (_ S) 
_ Contents,विषय सूची (_ C) 
_ Fullscreen,फुलस्क्रीन (_ F) 
_ Hint,"संकेत (_ H) _ New ""is for the menu item 'Game-> New', implies"" New Game"
_ New,नया (_ N) _ New Game
_ New Game,नया खेल (_ N) 
_ Redo Move,चाल फिर चलें (_ R) Reset
_ Reset,"रीसेट करें (_ R) _ Restart ""is the menu item 'Game-> Restart', implies"" Restart Game"
_ Restart,पुनःआरंभ करें (_ R) 
_ Undo Move,चाल वापस लें (_ U) 
_ Deal,डील (_ D) 
_ Leave Fullscreen,पूर्ण स्क्रीन छोड़ें (_ L) 
_ Pause,ठहरें (_ P) 
"% s is free software; you can redistribute it and / or modify it under the terms of the GNU General Public License as published by the Free Software Foundation; either version% d of the License, or (at your option) any later version.",% s मुफ़्त सॉफ़्टवेयर है; इसे आप मुफ़्त सॉफ़्टवेयर फाउण्डेशन द्वारा प्रकाशित ग्नू जनरल पब्लिक लाइसेंस के तहत वितरित कर सकते हैं या परिवर्धित कर सकते हैं; लाइसेंस के% d संस्करण या इसके (अपने विकल्प अनुसार) बाद के संस्करण के तहत. 
"% s is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the GNU General Public License for more details.","% s is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the GNU General Public License for more details. "
"You should have received a copy of the GNU General Public License along with this program. If not, see.",इस प्रोग्राम के साथ आपको ग्नू-जनरल पब्लिक लाइसेंस की प्रतिलिपि मिलनी चाहिए. यदि नहीं तो देखें. slot type
foundation,न्यासslot type
reserve,आरक्षितslot type
stock,स्टाकslot type
tableau,तालिकाslot type
waste,बरबादीfoundationslot hint
% s on foundation,% s आधार परreserveslot hint
% s on reserve,% s आरक्षितstockslot hint
% s on stock,% s भण्डार परtableauslot hint
% s on tableau,% s झांकी परwasteslot hint
% s on waste,% s अपशिष्ट पर
This game does not have hint support yet.,इस खेल में अब तक कोई संकेत समर्थन उपलब्ध नहीं है. 
Move% s onto% s.,% s खिसकाएँ% s पर. 
This game is unable to provide a hint.,यह खेल कोई संकेत उपलब्ध कराने में असमर्थ है. 
Accordion,एकार्डियन
Agnes,एग्नेस
Athena,एथेना
Auld Lang Syne,अल्ड लेंग स्याने
Aunt Mary,आंट मेरी
Backbone,रीढ़
Bakers Dozen,बेकर्स दर्जन
Bakers Game,बेकर्स खेल
Bear River,बीयर रिवर
Beleaguered Castle,सताने वाला किला
Block Ten,ब्लाक दस
Bristol,ब्रिस्टल
Camelot,केमेलॉट
Canfield,केनफील्ड
Carpet,दरी
Chessboard,शतरंज
Clock,घड़ी
Cover,आवरण
Cruel,कठोर
Diamond Mine,हीरा खदान
Doublets,जोड़ा
Eagle Wing,बाज पंख
Easthaven,ईस्टहैवन
Eight Off,आठ बन्द
Elevator,एलीवेटर
Eliminator,निरसक
Escalator,एस्केलेटर
First Law,पहला नियम
Fortress,किला
Fortunes,सौभाग्य
Forty Thieves,चालीस चोर
Fourteen,चौदह
Freecell,फ्रीसेल
Gaps,गैप
Gay Gordons,गे गोरडोन्स
Giant,जायंट
Glenwood,ग्लेनवुड
Gold Mine,सोना खदान
Golf,गोल्फ
Gypsy,जिप्सी
Helsinki,हेलसिंकी
Hopscotch,हॉपस्कॉच
Isabel,इसाबेल
Jamestown,जेम्सटाउन
Jumbo,भारी भरकम
Kansas,कैनसास
King Albert,राजा अलबर्ट
Kings Audience,किंग ऑडियंस
Klondike,क्लॉन्डिके
Klondike Three Decks,क्लॉन्डिके तीन डेक
Labyrinth,भूलभुलैया
Lady Jane,श्रीमती ज़ेन
Maze,भूल भुलैया
Monte Carlo,मोन्ते कार्लो
Napoleons Tomb,नेपोलियन मकबरा
Neighbor,पड़ोसी
Odessa,ओडेसा
Osmosis,ऑस्मोसिस
Peek,झांकें
Pileon,पाइलेअन
Plait,लपेट
Poker,पोकर
Quatorze,क्वातोर्जे
Royal East,रॉयल ईस्ट
Saratoga,साराटोगा
Scorpion,वृश्चिक
Scuffle,हाथापाई
Seahaven,सीहैवन
Sir Tommy,श्रीमान् टॉमी
Sol,सोल
Spider,मकड़ी
Spider Three Decks,स्पाइडर तीन डेक
Spiderette,मादा मकड़ी
Straight Up,सीधा ऊपर
Streets And Alleys,गलियां और चौबारा
Template,टेम्पलेट
Ten Across,दस आरपार
Terrace,टेरेस
Thieves,चोर
Thirteen,तेरह
Thumb And Pouch,अंगूठा और पॉकेट
Treize,ट्रेज
Triple Peaks,तिहरी चोटी
Union Square,संघीय चौराहा
Valentine,वेलेंटाइन
Westhaven,वेस्ट हैवन
Whitehead,सफेदसिर (व्हाइटहेड) 
Will O The Wisp,विल औ द विस्प
Yield,उपज
Yukon,युकान
Zebra,जेब्राcard symbol
JOKER,जोकरcard symbol
A,Acard symbol
2,2number
3,3number
4,4number
5,5number
6,6number
7,7number
8,8number
9,9
J,Jcard symbol
Q,Qcard symbol
K,Kcard symbol
1,1number
ace of clubs,चिड़ी का इक्का
two of clubs,चिड़ी की दुक्की
three of clubs,चिड़ी की तिक्की
four of clubs,चिड़ी का चौवा
five of clubs,चिड़ी का पंजा
six of clubs,चिड़ी का छक्का
seven of clubs,चिड़ी का सत्ता
eight of clubs,चिड़ी का अट्ठा
nine of clubs,चिड़ी का नहला
ten of clubs,चिड़ी का दहला
jack of clubs,चिड़ी का गुलाम
queen of clubs,चिड़ी की बेगम
king of clubs,चिड़ी का बादशाह
ace of diamonds,ईंट का इक्का
two of diamonds,ईंट का दुक्का
three of diamonds,ईंट की तिक्की
four of diamonds,ईंट का चव्वा
five of diamonds,ईंट का पंजा
six of diamonds,ईंट का छक्का
seven of diamonds,ईंट का सत्ता
eight of diamonds,ईंट का अट्ठा
nine of diamonds,ईंट का नहला
ten of diamonds,ईंट का दहला
jack of diamonds,ईंट का गुलाम
queen of diamonds,ईंट की बेगम
king of diamonds,ईंट का बादशाह
ace of hearts,लाल पान का इक्का
two of hearts,लाल पान का दुक्का
three of hearts,लाल पान की तिक्की
four of hearts,लाल पान का चव्वा
five of hearts,लाल पान का पंजा
six of hearts,लाल पान का छक्का
seven of hearts,लाल पान का सत्ता
eight of hearts,लाल पान का अट्ठा
nine of hearts,लाल पान का नहला
ten of hearts,लाल पान का दहला
jack of hearts,लाल पान का गुलाम
queen of hearts,लाल पान की बेगम
king of hearts,लाल पान का बादशाह
ace of spades,हुकुम का इक्का
two of spades,हुकुम का दुक्का
three of spades,हुकुम की तिक्की
four of spades,हुकुम का चव्वा
five of spades,हुकुम का पंजा
six of spades,हुकुम का छक्का
seven of spades,हुकुम का सत्ता
eight of spades,हुकुम का अट्ठा
nine of spades,हुकुम का नहला
ten of spades,हुकुम का दहला
jack of spades,हुकुम का गुलाम
queen of spades,हुकुम की बेगम
king of spades,हुकुम का बादशाह
face - down card,अज्ञात पत्ता
black joker,काला जोकर
red joker,लाल जोकर
Help file “% s.% s” not found,मदद फ़ाइल “% s.% s” नहीं मिली
Could not show help for “% s”,“% s” के लिए मदद नहीं दिखा सका
Whether the window is maximized,क्या विंडो सबसे बड़े आकार का होना चाहिए
Whether the window is fullscreen,क्या विंडो पूर्ण स्क्रीन है
Window width,विंडो चौड़ाई
Window height,विंडो ऊंचाई
Solitaire,सॉलिटेयर
GNOME Solitaire,गनोम सॉलिटेयर
About Solitaire,सॉलिटेयर के बारे में
Select the game type to play,खेलने के लिये खेल चुनें
NAME,नाम
FreeCell Solitaire,फ्रीसेल सॉलिटेयर
AisleRiot,एस्लेरियॉट
Wins:,जीताः
Total:,कुलः
Percentage:,प्रतिशतः
Wins,जीता
Best:,उत्तमः
Worst:,सब से बुराः
Time,समय% Id% d
% d,"% d% d ""in this string this to""% Id% d% d%%%%% ""(U + 0025 PERCENT SIGN) you do NOT need to escape it with another""% "
% d%%,% d%% Not ApplicableNot Applicable
N / A,लागू नहीं
% d:% 02d,% d:% 02d
"Congratulations, you have won!","बधाई, आप जीत गए! "
There are no more moves,कोई चाल बाकी नहीं
Main game:,मुख्य खेलः
Card games:,ताश के खेलः
Card themes:,ताश थीमः
About AisleRiot,एस्लेरियॉट के बारे में
AisleRiot provides a rule - based solitaire card engine that allows many different games to be played.,एसलिरियोट एक नियम आधारित सॉलिटेयर कार्ड इंजन देता है जो कई भिन्न खेल खेलने के लिए अनुमति देता है. 
translator - credits,रविशंकर श्रीवास्तव (raviratlami @yahoo. com) राजेश रंजन (rajeshkajha @yahoo. com) 
GNOME Games web site,ग्नोम खेल वेबसाइट
Play “% s”,खेलें “% s”
Display cards with “% s” card theme,कार्ड थीम “% s” के साथ कार्ड दिखाएं
A scheme exception occurred,योजना अपवाद उत्पन्न हुआ
Please report this bug to the developers.,डेवलेपर को इस बग को रिपोर्ट करें. 
_ Don 't report,मत रिपोर्ट करें (_ D) 
_ Report,रिपोर्ट करें (_ R) 
_ Game,खेल (_ G) 
_ View,देखें (_ V) 
_ Control,नियंत्रण (_ C) 
_ Help,मदद (_ H) 
Start a new game,एक नया खेल प्रारंभ करें
Restart the game,वर्तमान खेल पुनःप्रारंभ करें
_ Select Game…,खेल चुनें... (_ S) 
Play a different game,भिन्न प्रकार खेल खेलें
_ Recently Played,हाल में खेला गया (_ R) 
S _ tatistics,सांख्यिकी (_ t) 
Show gameplay statistics,खेल सांख्यिकी दिखायें
Close this window,इस विंडो को बन्द करें
Undo the last move,पिछली चाल पूर्ववत करें
Redo the undone move,पिछली चाल पूर्ववत करें
Deal next card or cards,अगला कार्ड या कार्ड्स की डील करें
Get a hint for your next move,अगली चाल हेतु संकेत प्राप्त करें
View help for Aisleriot,एस्लेरियाट के लिये सहायता देखें
View help for this game,इस खेल के लिये सहायता दिखायें
About this game,इस खेल के बारे में
Install card themes…,ताश प्रसंग इंस्टाल करें... 
Install new card themes from the distribution packages repositories,वितरण पैकेज रिपोसिटरीज़ से नए कार्ड गेम प्रसंग संस्थापित करें
_ Card Style,ताश शैली (_ C) 
_ Toolbar,उपकरण-पट्टी (_ T) 
Show or hide the toolbar,उपकरण-पट्टी छुपाएँ या दिखाएँ
_ Statusbar,स्थिति पट्टी (_ S) 
Show or hide statusbar,उपकरण-पट्टी छुपाएँ या दिखाएँ
_ Click to Move,बढ़ने के लिये क्लिक करें (_ C) 
Pick up and drop cards by clicking,क्लिक करके ताश ले या छोड़ें
_ Sound,ध्वनि (_ S) 
Whether or not to play event sounds,घटनाओं हेतु ध्वनि बजाएँ या नहीं. 
_ Animations,एनीमेशन (_ A) 
Whether or not to animate card moves,कार्ड चालों में एनीमेशन उपयोग करें या नहीं
Score:,अंकः
Time:,समयः
Cannot start the game “% s”,“% s” खेल आरंभ नहीं कर सका
Aisleriot cannot find the last game you played.,Aisleriot पता नहीं कर सका कि आपने कौन सा खेल अंतिम बार प्राप्त किया. 
"This usually occurs when you run an older version of Aisleriot which does not have the game you last played. The default game, Klondike, is being started instead.","यह प्रायः होता है जब आप एसलिरियोट के पुराने संस्करण को चलाते हैं जिसने खेल नहीं खेला है जो आप अंतिम में खेले हैं. मूलभूत खेल, Klondike, बदले में आरंभ हो रहा है. "
Base Card: ~ a,आधार पत्ताः ~ a
Base Card: Ace,आधार पत्ताः इक्का
Base Card: Jack,आधार पत्ताः जोकर
Base Card: Queen,आधार पत्ताः रानी
Base Card: King,आधार पत्ताः बादशाह
Stock left:,बचा मालः
Stock left: 0,बचा मालः 0
Deal more cards,और ताश बांटें
Try rearranging the cards,ताश को फिर से जमाने की कोशिश करें
Unknown color,अज्ञात रंग
the black joker,काला जोकर
the red joker,लाल जोकर
the ace of clubs,चिड़ी का इक्का
the two of clubs,चिड़ी की दुक्की
the three of clubs,चिड़ी की तिक्की
the four of clubs,चिड़ी का चौवा
the five of clubs,चिड़ी का पंजा
the six of clubs,चिड़ी का छक्का
the seven of clubs,चिड़ी का सत्ता
the eight of clubs,चिड़ी का अट्ठा
the nine of clubs,चिड़ी का नहला
the ten of clubs,चिड़ी का दहला
the jack of clubs,चिड़ी का गुलाम
the queen of clubs,चिड़ी की बेगम
the king of clubs,चिड़ी का बादशाह
the unknown card,अज्ञात पत्ता
the ace of spades,हुकुम का इक्का
the two of spades,हुकुम का दुक्का
the three of spades,हुकुम की तिक्की
the four of spades,हुकुम का चव्वा
the five of spades,हुकुम का पंजा
the six of spades,हुकुम का छक्का
the seven of spades,हुकुम का सत्ता
the eight of spades,हुकुम का अट्ठा
the nine of spades,हुकुम का नहला
the ten of spades,हुकुम का दहला
the jack of spades,हुकुम का गुलाम
the queen of spades,हुकुम की बेगम
the king of spades,हुकुम का बादशाह
the ace of hearts,लाल पान का इक्का
the two of hearts,लाल पान का दुक्का
the three of hearts,लाल पान की तिक्की
the four of hearts,लाल पान का चव्वा
the five of hearts,लाल पान का पंजा
the six of hearts,लाल पान का छक्का
the seven of hearts,लाल पान का सत्ता
the eight of hearts,लाल पान का अट्ठा
the nine of hearts,लाल पान का नहला
the ten of hearts,लाल पान का दहला
the jack of hearts,लाल पान का गुलाम
the queen of hearts,लाल पान की बेगम
the king of hearts,लाल पान का बादशाह
the ace of diamonds,ईंट का इक्का
the two of diamonds,ईंट का दुक्का
the three of diamonds,ईंट की तिक्की
the four of diamonds,ईंट का चव्वा
the five of diamonds,ईंट का पंजा
the six of diamonds,ईंट का छक्का
the seven of diamonds,ईंट का सत्ता
the eight of diamonds,ईंट का अट्ठा
the nine of diamonds,ईंट का नहला
the ten of diamonds,ईंट का दहला
the jack of diamonds,ईंट का गुलाम
the queen of diamonds,ईंट की बेगम
the king of diamonds,ईंट का बादशाह
Move ~ a onto the foundation.,~ a को एक आधार पर ले जाएँ. 
Move ~ a onto an empty foundation slot.,~ a को एक खाली आधार में ले जाएँ. 
Move ~ a onto the tableau.,~ a को एक खाली तस्वीर खाँचा पर ले जाएँ. 
Move ~ a onto an empty tableau slot.,~ a को एक खाली तस्वीर खाँचा पर ले जाएँ. 
Move ~ a onto the reserve.,~ a को एक सुरक्षित खाँचा पर ले जाएँ. 
Move ~ a onto an empty reserve slot.,~ a को एक सुरक्षित खाँचा पर ले जाएँ
Move ~ a onto an empty edge slot.,~ a को एक खाली बढ़त स्लॉट में ले जाएँ. 
Move ~ a onto an empty corner slot.,~ a को एक खाली कोने स्लॉट में ले जाएँ. 
Move ~ a onto an empty top slot.,~ a को एक खाली शीर्ष स्लॉट में ले जाएँ. 
